codigo_atc,descripcion_atc
L01XE50 ,ABEMACICLIB 
L02BX03,ABIRATERONA
L01XE51 ,ACALABRUTINIB 
L01XE13,AFATINIB
L01XE36 ,ALECTINIB 
M05BA04,ALENDRONICO ACIDO
L01XX35,ANAGRELIDE
L02BG03,ANASTROZOL
L04AA04,ANTITIMOCITO IMMUNOGLOBULINA
L02BB05,APALUTAMIDA
L01XX27,ARSENICO TRIOXIDO
L01XX02,ASPARAGINASA
L01XC32 ,ATEZOLIZUMAB 
L01XC31 ,AVELUMAB 
L01XE17,AXITINIB
L01BC07,AZACITIDINA
L04AX01,AZATIOPRINA
L03AX03,BCG VACUNA
L01AA09,BENDAMUSTINE
L01XC29 ,BERMEKIMAB 
L01XC07,BEVACIZUMAB
L02BB03,BICALUTAMIDA
L01XE41 ,BINIMETINIB 
L01DC01,BLEOMICINA
L01XC19 ,BLINATUMOMAB 
L01XX32,BORTEZOMIB
L01XE14 ,BOSUTINIB 
L01XC12 ,BRENTUXIMAB VEDOTIN 
L01XE43 ,BRIGATINIB 
L01AB01,BUSULFAN
L01CD04,CABAZITAXEL
L01XE26 ,CABOZANTINIB 
L01BC06,CAPECITABINA
L01XA02,CARBOPLATINO
L01XX45,CARFILZOMIB
L01AD01,CARMUSTINA
L01XC09 ,CATUMAXOMAB 
L01XE32 ,CEDIRANIB 
L01XC33 ,CEMIPLIMAB 
L01XE28 ,CERITINIB 
L01XC06,CETUXIMAB
L01AA01,CICLOFOSFAMIDA
L04AD01,CICLOSPORINA
G03HA01,CIPROTERONE
G03HB01,CIPROTERONE Y ESTROGENO
L01XA01,CISPLATINO
L01BC01,CITARABINA
L01BB04,CLADRIBINA
L01BB06,CLOFARABINA
L01AA02,CLORAMBUCIL
V10XX03,CLORURO DE RADIO
L01XE38,COBIMETINIB
L01XX61,COPANLISIB
L01XE16 ,CRIZOTINIB 
L01XE23,DABRAFENIB
L01AX04,DACARBAZINA
L01XE47 ,DACOMITINIB 
L01DA01,DACTINOMICINA
L01XC24,DARATUMUMAB
L01XE06,DASATINIB
L01DB02,DAUNORRUBICINA
L01BC08,DECITABINA
L02BX02,DEGARELIX
M05BX04,DENOSUMAB
H02AB02,DEXAMETASONA
L02AA01,DIETILESTILBESTROL
L01XC16 ,DINUTUXIMAB BETA 
L01CD02,DOCETAXEL
L01DB01,DOXORUBICINA
L01XC28 ,DURVALUMAB 
L01XC01 ,EDRECOLOMAB 
L01XC23 ,ELOTUZUMAB 
L01XE46 ,ENCORAFENIB 
L01XE56 ,ENTRECTINIB 
L02BB04,ENZALUTAMIDA
L01DB03,EPIRRUBICINA
L01XX34,ERLOTINIB
L01XE03 ,ERLOTINIB 
L01CB01,ETOPOSIDO
L01XE10,EVEROLIMUS
L04AA18,EVEROLIMUS
L02BG06,EXEMESTANO
L01XE57 ,FEDRATINIB 
L01BB05,FLUDARABINA
L01BC02,FLUOROURACILO
L01BC02,FLUORACILO
L02BB01,FLUTAMIDA
L02BA03,FULVESTRANT
L01XE02,GEFITINIB
L01BC05,GEMCITABINA
