codigo,importancia
013101,3
013102,3
013110,3
013202,1
015101,1
015102,1
015201,1
015202,1
015203,1
015204,1
015205,1
015206,1
015301,1
015302,1
015303,1
015304,1
015305,1
015306,1
015307,1
015308,1
015309,1
015310,1
015311,1
015313,1
015314,1
015401,1
015402,1
015403,1
015404,1
015405,1
015406,1
015407,1
015408,1
015409,1
015410,1
015411,1
015412,1
015502,1
016101,1
016102,1
016103,1
016201,1
016202,1
016301,1
016302,1
016402,1
017201,1
017202,1
017203,1
017204,1
017205,1
017206,1
017301,1
017302,1
017401,1
017403,1
017405,1
017406,1
017501,1
017502,1
017504,1
017505,1
017508,1
017509,1
017601,1
017603,1
017701,1
017702,1
017801,1
017802,1
017803,1
017806,3
017807,3
018202,1
019101,1
023403,3
025000,3
034101,1
034102,1
034103,1
034208,1
034209,1
034210,1
034211,1
034213,1
034214,1
034216,1
034217,1
034219,1
034220,1
034222,1
034223,1
034225,1
034226,1
034228,1
034229,1
034230,1
034307,1
034308,1
034309,1
034310,1
034311,1
034312,1
034313,1
034314,1
034315,1
034316,1
034317,1
034318,1
034319,1
034320,1
034321,1
034322,1
034323,1
034324,1
034325,1
034326,1
034327,1
034328,1
034329,1
034330,1
034331,1
034403,1
034404,1
034405,1
034406,1
034407,1
034408,1
034409,1
034410,1
034411,1
034412,1
034413,1
034414,1
034415,1
034416,1
034417,1
034418,1
034419,1
034420,1
034421,1
034422,1
034423,1
034424,1
034425,1
035105,3
035107,3
036101,2
036102,2
036103,2
40001,1
40002,1
40003,1
40004,1
40005,1
040701,1
040702,1
040704,1
040705,1
040712,1
040713,1
040714,1
040716,1
040718,1
040722,1
040724,2
040726,1
040728,1
040731,1
044203,2
052102,2
052601,1
052602,1
060901,3
062001,1
062002,1
064101,1
064102,1
065101,1
065102,1
065201,1
067001,1
067002,1
067201,1
068101,1
068102,1
068901,1
072001,1
072002,1
072501,1
072502,1
075400,1
078203,1
078204,1
078205,1
078206,1
082101,1
082102,1
082301,1
082302,1
082304,1
082403,1
082404,1
082405,1
082406,1
082407,1
083003,3
083004,3
086001,3
086002,3
086003,3
088403,3
089302,3
103106,1
103107,1
104001,3
104002,3
104003,3
114102,1
116104,3
124201,1
124401,1
128401,1
128405,3
136401,1
136402,1
137003,3
142004,3
142005,3
147401,1
154007,1
154008,1
164001,3
165001,3
168301,3
168401,3
168402,3
168405,3
169006,3
169201,1
170006,1
170007,1
170008,1
170009,1
170010,1
170011,1
170012,1
170013,1
170014,1
182100,1
182200,1
182300,1
183102,1
183103,1
187107,3
204003,1
204201,1
218001,1
218002,1
218301,3
218302,3
218605,3
219004,1
219005,1
219006,1
219007,1
219008,1
219107,1
219108,1
219109,1
222107,1
225004,1
226001,1
226205,1
226206,1
226207,1
226208,1
226301,1
226305,1
226307,1
231100,3
231400,3
242201,3
242202,1
243105,3
243107,3
243108,3
243109,3
243110,1
244109,1
245100,3
252001,1
252002,1
252501,1
252506,1
252508,1
252509,1
253401,1
260101,1
262002,1
263101,1
263201,1
263203,1
263204,1
263206,1
273105,3
273201,3
273202,1
273301,3
273401,3
273403,1
274201,1
274202,1
274203,1
274303,1
274304,1
274305,1
274400,1
274902,1
275301,1
275302,1
277201,1
277202,1
277203,1
277301,3
282101,1
284101,1
285103,1
285104,1
293307,1
293308,1
293501,1
295101,3
295201,1
295202,1
295701,3
295702,3
300101,1
300103,1
300201,1
300202,1
300401,1
300402,1
301001,1
301109,1
301402,1
301403,1
301404,1
302102,1
303201,1
304101,1
304102,3
315001,1
315002,1
315003,1
315104,1
317505,3
317506,3
319500,3
320001,1
320002,1
320003,1
320201,1
321201,3
321204,1
321205,1
321303,3
322101,1
322102,1
322201,3
322801,1
324101,1
324102,1
324103,1
324104,1
324105,1
324106,1
324201,1
324202,1
324203,1
324204,1
325201,1
325202,1
340202,1
340301,2
340401,3
340602,3
340903,3
340904,3
340909,3
340910,3
341401,1
341402,1
341403,1
341501,1
345101,1
345102,1
345202,3
345203,3
345204,3
345205,3
345301,3
345302,3
345501,1
345502,1
345503,3
351403,3
353503,1
353504,1
358701,3
358702,3
358705,1
371202,1
373303,1
373307,1
373308,1
373309,1
373310,1
383201,1
383202,1
383203,1
383204,1
383205,1
383206,1
383301,1
383302,1
383303,1
383304,1
383404,1
383601,1
383602,1
383701,1
383702,1
383803,1
383903,1
384201,1
384202,1
384301,1
384302,1
384303,1
384304,1
384400,1
384500,1
384600,1
384700,1
384801,1
384802,1
384803,1
384902,1
388904,3
398001,1
398002,1
399903,1
402101,1
402201,1
402301,1
402400,1
403000,3
404001,2
404002,2
404003,2
404004,2
404401,2
404403,2
405101,2
405102,2
405201,2
405202,2
405203,2
405304,1
405305,1
405306,1
405307,1
405404,1
405405,1
405406,1
405407,1
405408,1
405409,1
405411,1
405412,1
405502,1
405503,1
405601,2
410501,3
414202,3
414301,1
415102,1
415103,1
420101,3
421101,1
423204,1
423205,1
423206,1
423207,1
423208,1
423301,1
423308,1
423309,1
