municipio,codigo
ABEJORRAL,05002
ÁBREGO,54003
ABRIAQUÍ,05004
ACACÍAS,50006
ACANDÍ,27006
ACEVEDO,41006
ACHÍ,13006
AGRADO,41013
AGUA DE DIOS,25001
AGUACHICA,20011
AGUADA,68013
AGUADAS,17013
AGUAZUL,85010
AGUSTÍN CODAZZI,20013
AIPE,41016
ALBÁN,25019
ALBÁN,52019
ALBANIA,18029
ALBANIA,44035
ALBANIA,68020
ALCALÁ,76020
ALDANA,52022
ALEJANDRÍA,05021
ALGARROBO,47030
ALGECIRAS,41020
ALMAGUER,19022
ALMEIDA,15022
ALPUJARRA,73024
ALTAMIRA,41026
ALTO BAUDÓ,27025
ALTOS DEL ROSARIO,13030
ALVARADO,73026
AMAGÁ,05030
AMALFI,05031
AMBALEMA,73030
ANAPOIMA,25035
ANCUYÁ,52036
ANDALUCÍA,76036
ANDES,05034
ANGELÓPOLIS,05036
ANGOSTURA,05038
ANOLAIMA,25040
ANORÍ,05040
ANSERMA,17042
ANSERMANUEVO,76041
ANZÁ,05044
ANZOÁTEGUI,73043
APARTADÓ,05045
APÍA,66045
APULO,25599
AQUITANIA,15047
ARACATACA,47053
ARANZAZU,17050
ARATOCA,68051
ARAUCA,81001
ARAUQUITA,81065
ARBELÁEZ,25053
ARBOLEDA,52051
ARBOLEDAS,54051
ARBOLETES,05051
ARCABUCO,15051
ARENAL,13042
ARGELIA,05055
ARGELIA,19050
ARGELIA,76054
ARIGUANÍ,47058
ARJONA,13052
ARMENIA,05059
ARMENIA,63001
ARMERO GUAYABAL,73055
ARROYOHONDO,13062
ASTREA,20032
ATACO,73067
ATRATO,27050
AYAPEL,23068
BAGADÓ,27073
BAHÍA SOLANO,27075
BAJO BAUDÓ,27077
BALBOA,19075
BALBOA,66075
BARANOA,08078
BARAYA,41078
BARBACOAS,52079
BARBOSA,05079
BARBOSA,68077
BARICHARA,68079
BARRANCA DE UPÍA,50110
BARRANCABERMEJA,68081
BARRANCAS,44078
BARRANCO DE LOBA,13074
BARRANCO MINAS,94343
BARRANQUILLA,08001
BECERRIL,20045
BELALCÁZAR,17088
BELÉN,15087
BELÉN,52083
BELÉN DE LOS ANDAQUÍES,18094
BELÉN DE UMBRÍA,66088
BELLO,05088
BELMIRA,05086
BELTRÁN,25086
BERBEO,15090
BETANIA,05091
BETÉITIVA,15092
BETULIA,05093
BETULIA,68092
BITUIMA,25095
BOAVITA,15097
BOCHALEMA,54099
BOGOTÁ, D.C.,11001
BOJACÁ,25099
BOJAYÁ,27099
BOLÍVAR,19100
BOLÍVAR,68101
BOLÍVAR,76100
BOSCONIA,20060
BOYACÁ,15104
BRICEÑO,05107
BRICEÑO,15106
BUCARAMANGA,68001
BUCARASICA,54109
BUENAVENTURA,76109
BUENAVISTA,15109
BUENAVISTA,23079
BUENAVISTA,63111
BUENAVISTA,70110
BUENOS AIRES,19110
BUESACO,52110
BUGALAGRANDE,76113
BURITICÁ,05113
BUSBANZÁ,15114
CABRERA,25120
CABRERA,68121
CABUYARO,50124
CACAHUAL,94886
CÁCERES,05120
CACHIPAY,25123
CÁCHIRA,54128
CÁCOTA,54125
CAICEDO,05125
CAICEDONIA,76122
CAIMITO,70124
CAJAMARCA,73124
CAJIBÍO,19130
CAJICÁ,25126
CALAMAR,13140
CALAMAR,95015
CALARCÁ,63130
CALDAS,05129
CALDAS,15131
CALDONO,19137
CALI,76001
CALIFORNIA,68132
CALIMA,76126
CALOTO,19142
CAMPAMENTO,05134
CAMPO DE LA CRUZ,08137
CAMPOALEGRE,41132
CAMPOHERMOSO,15135
CANALETE,23090
CANDELARIA,08141
CANDELARIA,76130
CANTAGALLO,13160
CAÑASGORDAS,05138
CAPARRAPÍ,25148
CAPITANEJO,68147
CÁQUEZA,25151
CARACOLÍ,05142
CARAMANTA,05145
CARCASÍ,68152
CAREPA,05147
CARMEN DE APICALÁ,73148
CARMEN DE CARUPA,25154
CARMEN DEL DARIÉN,27150
CAROLINA,05150
CARTAGENA DE INDIAS,13001
CARTAGENA DEL CHAIRÁ,18150
CARTAGO,76147
CARURÚ,97161
CASABIANCA,73152
CASTILLA LA NUEVA,50150
CAUCASIA,05154
CEPITÁ,68160
CERETÉ,23162
CERINZA,15162
CERRITO,68162
CERRO DE SAN ANTONIO,47161
CÉRTEGUI,27160
CHACHAGÜÍ,52240
CHAGUANÍ,25168
CHALÁN,70230
CHÁMEZA,85015
CHAPARRAL,73168
CHARALÁ,68167
CHARTA,68169
CHÍA,25175
CHIGORODÓ,05172
CHIMA,68176
CHIMÁ,23168
CHIMICHAGUA,20175
CHINÁCOTA,54172
CHINAVITA,15172
CHINCHINÁ,17174
CHINÚ,23182
CHIPAQUE,25178
CHIPATÁ,68179
CHIQUINQUIRÁ,15176
CHÍQUIZA,15232
CHIRIGUANÁ,20178
CHISCAS,15180
CHITA,15183
CHITAGÁ,54174
CHITARAQUE,15185
CHIVATÁ,15187
CHIVOLO,47170
CHIVOR,15236
CHOACHÍ,25181
CHOCONTÁ,25183
CICUCO,13188
CIÉNAGA,47189
CIÉNAGA DE ORO,23189
CIÉNEGA,15189
CIMITARRA,68190
CIRCASIA,63190
CISNEROS,05190
CIUDAD BOLÍVAR,05101
